Este es un archivo con información de ventas de la marketplace tienda a nivel internacional,,,,,,,,,,,,,,,,,,Columna1,Columna2
Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Teléfono,Género,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Cantidad,Descuento,Ganancia,,
7715,US-2018-155383,03/09/2018,07/09/18,estándar,GC-15520,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SO-10000900,2,0.40,13.12,,
7716,US-2018-155383,03/09/2018,07/09/18,estándar,GC-15520,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-TE-10000982,3,0.40,-479.76,,
7717,US-2018-155383,03/09/2018,07/09/18,estándar,GC-15520,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10001693,3,0.40,-82.32,,
7718,US-2018-155383,03/09/2018,07/09/18,estándar,GC-15520,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-LI-10003828,8,0.40,-1896.00,,
7719,US-2018-155383,03/09/2018,07/09/18,estándar,GC-15520,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-ET-10003313,5,0.40,-84.80,,
7905,US-2021-115574,10/01/2021FechaPedido,10/01/21,Mismo día,CL-12775,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10002320,3,0.40,-269.04,,
8151,US-2020-154676,13/12/2020,18/12/20,estándar,BO-12010,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-PA-10004917,6,0.40,-518.40,,
8218,MX-2019-158988,07/10/2019,08/10/19,Mismo día,HC-15985,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10000748,6,0.40,272.64,,
8219,MX-2019-158988,07/10/2019,08/10/19,Mismo día,HC-15985,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SO-10004758,2,0.40,-120.88,,
8220,MX-2019-158988,07/10/2019,08/10/19,Mismo día,HC-15985,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-MO-10000300,1,0.40,-20.96,,
8221,MX-2019-158988,07/10/2019,08/10/19,Mismo día,HC-15985,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-CO-10001037,5,0.40,-407.12,,
8222,MX-2019-158988,07/10/2019,08/10/19,Mismo día,HC-15985,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10001973,5,0.40,-651.60,,
8223,MX-2019-158988,07/10/2019,08/10/19,Mismo día,HC-15985,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AR-10003109,4,0.40,-21.60,,
8276,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-ET-10004911,5,0.40,-84.80,,
8277,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-CA-10004688,1,0.70,-17.94,,
8278,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-CA-10001808,3,0.70,-78.42,,
8279,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-CO-10003416,2,0.40,-455.93,,
8280,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AR-10001930,5,0.40,154.80,,
8281,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-MO-10002863,3,0.40,-71.16,,
8282,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-SI-10000027,1,0.40,35.52,,
8283,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SU-10001351,5,0.40,-41.40,,
8284,US-2019-122658,24/11/2019,28/11/19,estándar,SS-20935,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SO-10004767,7,0.40,-10.08,,
8567,US-2020-104017,13/10/2020,18/10/20,estándar,HS-15655,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-ME-10003844,2,0.70,-3071.48,,
8568,US-2020-104017,13/10/2020,18/10/20,estándar,HS-15655,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-MO-10002423,2,0.40,-39.12,,
8666,US-2018-105851,17/09/2018,17/09/18,Mismo día,GG-15340,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10000992,3,0.40,-66.96,,
8851,MX-2019-166730,11/12/2019,15/12/19,estándar,GA-15205,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10004366,2,0.40,10.16,,
8852,MX-2019-166730,11/12/2019,15/12/19,estándar,GA-15205,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-EL-10002747,3,0.40,-0.48,,
8902,MX-2019-105655,24/11/2019,26/11/19,urgente,FB-14590,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-MO-10001975,3,0.40,37.68,,
8915,US-2021-129546,15/12/2021FechaPedido,19/12/21,estándar,SM-20890,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10002908,2,0.40,-0.24,,
8916,US-2021-129546,15/12/2021FechaPedido,19/12/21,estándar,SM-20890,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-SI-10000004,3,0.40,-120.24,,
8917,US-2021-129546,15/12/2021FechaPedido,19/12/21,estándar,SM-20890,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-ME-10002060,4,0.70,-5519.36,,
8940,US-2019-112025,20/06/2019,23/06/19,urgente,ES-14515,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10001202,5,0.40,-119.20,,
8941,US-2019-112025,20/06/2019,23/06/19,urgente,ES-14515,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10002814,3,0.40,-966.24,,
8951,US-2020-167220,02/05/2020,03/05/20,urgente,CS-12745,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10000423,5,0.40,-48.80,,
8952,US-2020-167220,02/05/2020,03/05/20,urgente,CS-12745,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SO-10000511,2,0.40,-37.92,,
9101,US-2020-122707,30/10/2020,01/11/20,urgente,ES-14515,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-ME-10000478,2,0.70,-4432.96,,
9102,US-2020-122707,30/10/2020,01/11/20,urgente,ES-14515,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10004131,3,0.40,331.56,,
9118,US-2021-117828,26/07/2021FechaPedido,26/07/21,Mismo día,CA-12355,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-PA-10003811,5,0.40,-82.40,,
9244,US-2019-165414,03/05/2019,09/05/19,estándar,LG-17920,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10004952,3,0.40,-0.36,,
9264,US-2019-140004,18/09/2019,18/09/19,Mismo día,HV-15625,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SO-10003285,5,0.40,-165.00,,
9286,US-2019-132591,21FechaPedido/06/2019,27/06/19,estándar,IB-16090,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10002100,3,0.40,-357.84,,
9287,US-2019-132591,21FechaPedido/06/2019,27/06/19,estándar,IB-16090,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-CA-10002687,1,0.70,-115.96,,
9639,US-2020-155026,25/12/2020,26/12/20,urgente,EG-13735,,,,Pequeña empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SU-10003038,4,0.40,-284.80,,
9726,US-2020-150602,04/08/2020,08/08/20,estándar,GA-15205,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10003493,4,0.40,-127.84,,
9778,US-2021-122322,22/12/2021FechaPedido,29/12/21,estándar,NC-19150,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-SI-10001415,5,0.40,-1685.40,,
9779,US-2021-122322,22/12/2021FechaPedido,29/12/21,estándar,NC-19150,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AR-10002445,6,0.40,113.28,,
9848,US-2021-127894,19/09/2021FechaPedido,22/09/21,urgente,FG-15010,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AR-10000070,4,0.40,-88.64,,
2266,US-2019-136000,15/05/2019,17/05/19,urgente,AM-11245,,,,Empresa,Ciudad Acuña,Coahuila,México,Norte,MOB-MO-10003083,1,0.40,-8.44,,
2267,US-2019-136000,15/05/2019,17/05/19,urgente,AM-11245,,,,Empresa,Ciudad Acuña,Coahuila,México,Norte,MAT-ET-10001693,4,0.00,61.60,,
2279,US-2018-163860,07/12/2018,12/12/18,Rápido,BL-11890,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MOB-SI-10002050,9,0.20,-691.20,,
4565,MX-2021-158505,24/09/2021FechaPedido,29/09/21,estándar,TA-21175,,,,Empresa,Ciudad Acuña,Coahuila,México,Norte,MAT-EL-10000632,2,0.00,2871.60,,
6893,MX-2018-164875,12/05/2018,15/05/18,urgente,AV-11275,,,,Empresa,Ciudad Acuña,Coahuila,México,Norte,MAT-AR-10003292,3,0.00,173.40,,
6901,MX-2021-138233,01/08/2021FechaPedido,07/08/21,estándar,AB-10885,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MOB-SI-10004824,2,0.20,792.16,,
6902,MX-2021-138233,01/08/2021FechaPedido,07/08/21,estándar,AB-10885,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MAT-AL-10000561,6,0.00,615.60,,
6903,MX-2021-138233,01/08/2021FechaPedido,07/08/21,estándar,AB-10885,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MAT-PA-10004543,3,0.00,98.40,,
8332,MX-2021-112039,09/12/2021FechaPedido,09/12/21,Mismo día,SC-20785,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MAT-SO-10003908,2,0.00,94.40,,
8333,MX-2021-112039,09/12/2021FechaPedido,09/12/21,Mismo día,SC-20785,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MAT-AR-10004818,3,0.00,268.20,,
8334,MX-2021-112039,09/12/2021FechaPedido,09/12/21,Mismo día,SC-20785,,,,Cliente,Ciudad Acuña,Coahuila,México,Norte,MOB-SI-10001429,5,0.20,385.60,,
9803,MX-2021-114391,21FechaPedido/03/2021FechaPedido,24/03/21,Rápido,ES-13975,,,,Empresa,Ciudad Acuña,Coahuila,México,Norte,MAT-CA-10003188,1,0.00,54.80,,
9804,MX-2021-114391,21FechaPedido/03/2021FechaPedido,24/03/21,Rápido,ES-13975,,,,Empresa,Ciudad Acuña,Coahuila,México,Norte,TEC-AC-10004574,5,0.00,604.00,,
265,US-2020-101721,13/08/2020,17/08/20,estándar,MA-18850,,,,Cliente,Monclova,Coahuila,México,Norte,MOB-ME-10001131,1,0.20,-178.44,,
521,US-2018-155894,14/10/2018,20/10/18,estándar,RD-20215,,,,Cliente,Monclova,Coahuila,México,Norte,MOB-SI-10001060,2,0.20,-214.48,,
522,US-2018-155894,14/10/2018,20/10/18,estándar,RD-20215,,,,Cliente,Monclova,Coahuila,México,Norte,MAT-AL-10002822,2,0.00,44.80,,
523,US-2018-155894,14/10/2018,20/10/18,estándar,RD-20215,,,,Cliente,Monclova,Coahuila,México,Norte,TEC-CO-10003453,3,0.00,2023.07,,
5916,MX-2018-126375,29/11/2018,01/12/18,urgente,SA-20845,,,,Cliente,Monclova,Coahuila,México,Norte,MAT-CA-10000307,5,0.00,109.00,,
5917,MX-2018-126375,29/11/2018,01/12/18,urgente,SA-20845,,,,Cliente,Monclova,Coahuila,México,Norte,TEC-MÁ-10001938,3,0.00,693.00,,
7038,MX-2021-160885,07/11/2021FechaPedido,13/11/21,estándar,UR-21355,,,,Empresa,Monclova,Coahuila,México,Norte,MOB-SI-10001995,2,0.20,360.16,,
8289,MX-2018-135552,10/02/2018,14/02/18,estándar,NC-19255,,,,Empresa,Monclova,Coahuila,México,Norte,MAT-SO-10000258,7,0.00,8.40,,
8290,MX-2018-135552,10/02/2018,14/02/18,estándar,NC-19255,,,,Empresa,Monclova,Coahuila,México,Norte,MAT-SU-10001845,4,0.00,164.00,,
8291,MX-2018-135552,10/02/2018,14/02/18,estándar,NC-19255,,,,Empresa,Monclova,Coahuila,México,Norte,MAT-SO-10003038,4,0.00,125.60,,
8292,MX-2018-135552,10/02/2018,14/02/18,estándar,NC-19255,,,,Empresa,Monclova,Coahuila,México,Norte,MAT-EL-10003854,2,0.00,92.80,,
9986,MX-2020-110828,08/03/2020,13/03/20,estándar,VZ-21685,,,,Pequeña empresa,Monclova,Coahuila,México,Norte,TEC-AC-10002193,5,0.00,976.00,,
87,MX-2021-137365,18/06/2021FechaPedido,23/06/21,estándar,MC-18760,,,,Cliente,Piedras Negras,Coahuila,México,Norte,MAT-GR-10004127,8,0.00,99.20,,
88,MX-2021-137365,18/06/2021FechaPedido,23/06/21,estándar,MC-18760,,,,Cliente,Piedras Negras,Coahuila,México,Norte,MOB-MO-10000971,2,0.40,-19.76,,
2736,MX-2018-111318,23/11/2018,29/11/18,estándar,DS-13165,,,,Cliente,Piedras Negras,Coahuila,México,Norte,TEC-CO-10000159,2,0.00,745.76,,
4457,MX-2020-114706,30/06/2020,01/07/20,urgente,EO-13885,,,,Pequeña empresa,Piedras Negras,Coahuila,México,Norte,MAT-CA-10004833,2,0.00,39.20,,
4458,MX-2020-114706,30/06/2020,01/07/20,urgente,EO-13885,,,,Pequeña empresa,Piedras Negras,Coahuila,México,Norte,TEC-TE-10003902,3,0.00,670.80,,
4459,MX-2020-114706,30/06/2020,01/07/20,urgente,EO-13885,,,,Pequeña empresa,Piedras Negras,Coahuila,México,Norte,TEC-TE-10000665,1,0.00,199.60,,
5444,US-2021-128181,22/03/2021FechaPedido,26/03/21,estándar,EM-13945,,,,Cliente,Piedras Negras,Coahuila,México,Norte,MOB-LI-10003753,2,0.20,-113.20,,
5445,US-2021-128181,22/03/2021FechaPedido,26/03/21,estándar,EM-13945,,,,Cliente,Piedras Negras,Coahuila,México,Norte,MAT-AR-10002570,5,0.00,113.00,,
5446,US-2021-128181,22/03/2021FechaPedido,26/03/21,estándar,EM-13945,,,,Cliente,Piedras Negras,Coahuila,México,Norte,MOB-SI-10003813,1,0.20,142.56,,
6962,MX-2021-102120,01/03/2021FechaPedido,05/03/21,estándar,TT-21145,,,,Empresa,Piedras Negras,Coahuila,México,Norte,MAT-CA-10002468,4,0.00,22.40,,
6963,MX-2021-102120,01/03/2021FechaPedido,05/03/21,estándar,TT-21145,,,,Empresa,Piedras Negras,Coahuila,México,Norte,MOB-LI-10004334,3,0.20,-350.64,,
8330,MX-2021-123904,08/10/2021FechaPedido,10/10/21,Rápido,AT-10600,,,,Empresa,Piedras Negras,Coahuila,México,Norte,MAT-GR-10004569,3,0.00,30.60,,
371,MX-2021-131366,20/08/2021FechaPedido,23/08/21,urgente,VC-21565,,,,Empresa,Saltillo,Coahuila,México,Norte,MAT-SU-10004093,3,0.00,145.80,,
372,MX-2021-131366,20/08/2021FechaPedido,23/08/21,urgente,VC-21565,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-LI-10001469,5,0.20,3067.00,,
373,MX-2021-131366,20/08/2021FechaPedido,23/08/21,urgente,VC-21565,,,,Empresa,Saltillo,Coahuila,México,Norte,TEC-TE-10004798,1,0.00,11.00,,
374,MX-2021-131366,20/08/2021FechaPedido,23/08/21,urgente,VC-21565,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-SI-10000984,4,0.20,957.12,,
375,MX-2021-131366,20/08/2021FechaPedido,23/08/21,urgente,VC-21565,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-MO-10001574,2,0.40,-121.20,,
550,MX-2018-154116,31/05/2018,04/06/18,Rápido,NH-19240,,,,Cliente,Saltillo,Coahuila,México,Norte,MAT-SU-10001174,3,0.00,93.00,,
551,MX-2018-154116,31/05/2018,04/06/18,Rápido,NH-19240,,,,Cliente,Saltillo,Coahuila,México,Norte,MOB-LI-10000111,3,0.20,231.36,,
965,US-2020-108567,05/06/2020,07/06/20,Rápido,BT-11710,,,,Cliente,Saltillo,Coahuila,México,Norte,MOB-MO-10004676,3,0.40,-834.36,,
1083,US-2020-164357,24/11/2020,30/11/20,estándar,EN-13900,,,,Cliente,Saltillo,Coahuila,México,Norte,MOB-SI-10001833,3,0.20,-0.36,,
2726,MX-2018-150588,18/06/2018,21/06/18,urgente,IS-16585,,,,Empresa,Saltillo,Coahuila,México,Norte,TEC-TE-10000034,3,0.00,246.00,,
2727,MX-2018-150588,18/06/2018,21/06/18,urgente,IS-16585,,,,Empresa,Saltillo,Coahuila,México,Norte,MAT-AR-10002164,2,0.00,78.40,,
3567,MX-2019-112662,17/04/2019,22/04/19,estándar,IV-16300,,,,Empresa,Saltillo,Coahuila,México,Norte,TEC-AC-10004554,3,0.00,170.40,,
4079,MX-2021-116330,26/11/2021FechaPedido,29/11/21,Rápido,FL-14665,,,,Cliente,Saltillo,Coahuila,México,Norte,MAT-AL-10004891,2,0.00,192.00,,
4501,MX-2020-103485,26/02/2020,03/03/20,estándar,MC-18865,,,,Cliente,Saltillo,Coahuila,México,Norte,MAT-CA-10001216,5,0.00,122.00,,
4502,MX-2020-103485,26/02/2020,03/03/20,estándar,MC-18865,,,,Cliente,Saltillo,Coahuila,México,Norte,MAT-AL-10001194,3,0.00,1357.20,,
4528,US-2021-166177,19/11/2021FechaPedido,22/11/21,Rápido,ÉC-14365,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-LI-10000983,3,0.20,-1322.28,,
4529,US-2021-166177,19/11/2021FechaPedido,22/11/21,Rápido,ÉC-14365,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-SI-10000776,1,0.20,-91.08,,
4530,US-2021-166177,19/11/2021FechaPedido,22/11/21,Rápido,ÉC-14365,,,,Empresa,Saltillo,Coahuila,México,Norte,MAT-GR-10002450,4,0.00,64.00,,
4531,US-2021-166177,19/11/2021FechaPedido,22/11/21,Rápido,ÉC-14365,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-MO-10001975,9,0.40,113.04,,
4540,MX-2020-146920,25/06/2020,29/06/20,Rápido,CM-12820,,,,Pequeña empresa,Saltillo,Coahuila,México,Norte,MAT-CA-10001599,2,0.00,6.40,,
4544,MX-2021-139794,19/11/2021FechaPedido,24/11/21,estándar,AR-10420,,,,Empresa,Saltillo,Coahuila,México,Norte,TEC-MÁ-10001445,3,0.00,103.80,,
4819,MX-2018-130008,10/12/2018,11/12/18,urgente,AV-10030,,,,Empresa,Saltillo,Coahuila,México,Norte,MAT-AR-10004211,6,0.00,90.00,,
4820,MX-2018-130008,10/12/2018,11/12/18,urgente,AV-10030,,,,Empresa,Saltillo,Coahuila,México,Norte,MOB-LI-10003192,4,0.20,-0.32,,
6176,MX-2021-117744,30/06/2021FechaPedido,06/07/21,estándar,BM-11920,,,,Cliente,Saltillo,Coahuila,México,Norte,MAT-AL-10004285,5,0.00,194.00,,
6177,MX-2021-117744,30/06/2021FechaPedido,06/07/21,estándar,BM-11920,,,,Cliente,Saltillo,Coahuila,México,Norte,MAT-AR-10002926,4,0.00,137.60,,
